"ID","ID_FORNECEDOR","DATALANCAMENTO","NUMERODOCUMENTO","DATADOCUMENTO","TOTALPARCELAS","VALORTOTAL","NUMEROPARCELA","VALORPARCELA","DATAVENCIMENTO","LIQUIDADO","DATAPAGAMENTO","VALORPAGO","DATA_INC","DATA_ALT"
1,63,2007-08-15,"029002      ",2007-06-19,"04",400.00,"03",112.75,2007-08-15,S,2007-08-15,112.75,2007-08-15,2007-08-15
2,9,2007-08-15,"029003      ",2007-06-19,"04",400.00,"04",112.75,2007-09-15,S,2007-09-11,112.75,2007-08-15,2007-08-16
6,2,2007-08-15,"423818A     ",2007-08-13,"03",1884.89,"01",644.83,2007-08-27,S,2007-08-27,644.83,2007-08-15,
7,2,2007-08-15,"423818B     ",2007-08-13,"03",1884.49,"02",619.83,2007-09-03,S,2007-09-03,619.83,2007-08-15,
3,8,2007-08-15,"730836-1    ",2007-07-20,"01",637.40,"01",637.40,2007-08-17,S,2007-08-17,637.40,2007-08-15,2010-11-19
4,2,2007-08-15,"422357b     ",2007-08-07,"01",739.16,"01",739.16,2007-08-28,S,2007-08-27,739.16,2007-08-15,
5,10,2007-08-15,"00135       ",2007-08-09,"01",457.00,"01",457.00,2007-09-08,S,2007-09-11,457.00,2007-08-15,
8,2,2007-08-15,"423818C     ",2007-08-13,"03",1884.49,"03",619.83,2007-09-10,S,2007-09-11,619.83,2007-08-15,
9,2,2007-08-15,"50151A      ",2007-08-14,"02",1263.58,"01",644.29,2007-08-28,S,2007-08-27,644.29,2007-08-15,
10,2,2007-08-15,"50151B      ",2007-08-14,"02",1263.58,"01",619.29,2007-09-04,S,2007-09-03,619.29,2007-08-15,
11,11,2007-08-17,"2935143803  ",2007-08-10,"01",426.71,"01",426.71,2007-09-05,S,2007-09-03,426.71,2007-08-17,
12,1,2007-08-17,"13631/1br   ",2007-08-15,"01",480.73,"01",480.73,2007-08-25,S,2007-08-27,480.73,2007-08-17,
13,1,2007-08-17,"001584      ",2007-08-15,"01",264.17,"01",264.17,2007-09-12,S,2007-09-11,264.17,2007-08-17,
14,1,2007-08-17,"13621/1br   ",2007-08-15,"01",355.34,"01",355.34,2007-08-29,S,2007-08-27,355.34,2007-08-17,
15,1,2007-08-17,"13621/2br   ",2007-08-15,"01",355.34,"01",355.34,2007-09-05,S,2007-09-03,355.34,2007-08-17,
16,12,2007-08-23,"12316       ",2007-08-22,"01",461.19,"01",461.19,2007-09-22,S,2007-09-24,461.19,2007-08-23,
17,1,2007-08-23,"009161      ",2007-08-20,"01",182.66,"01",182.66,2007-08-30,S,2007-08-27,182.66,2007-08-23,
18,1,2007-08-23,"13771/1BR   ",2007-08-30,"01",232.54,"01",232.54,2007-08-30,S,2007-08-27,232.54,2007-08-23,
19,13,2007-08-23,"10007       ",2007-09-06,"01",541.64,"01",541.64,2007-09-06,S,2007-09-03,541.64,2007-08-23,2007-08-23
20,1,2007-08-25,"1709-1      ",2007-08-23,"01",351.64,"01",351.64,2007-09-20,S,2007-09-17,351.64,2007-08-25,
21,1,2007-08-25,"13903/1     ",2007-08-23,"01",480.28,"01",480.28,2007-09-02,S,2007-09-03,480.28,2007-08-25,
22,1,2007-08-25,"009177      ",2007-08-23,"01",344.72,"01",344.72,2007-09-06,S,2007-09-03,344.72,2007-08-25,
23,1,2007-08-25,"13914/1     ",2007-08-24,"01",142.08,"01",142.08,2007-09-03,S,2007-09-03,142.08,2007-08-25,
24,2,2007-08-30,"51080A      ",2007-08-27,"01",673.38,"01",673.38,2007-09-17,S,2007-09-17,673.38,2007-08-30,
25,2,2007-08-30,"51080B      ",2007-08-27,"01",648.37,"01",648.37,2007-09-24,S,2007-09-24,648.37,2007-08-30,2007-08-30
26,8,2007-09-03,"740148/1    ",2007-08-27,"05",483.68,"01",483.68,2007-09-17,S,2007-09-17,483.68,2007-09-03,
27,8,2007-09-03,"740148/2    ",2007-08-27,"05",457.00,"02",457.00,2007-09-24,S,2007-09-24,457.00,2007-09-03,
28,8,2007-09-03,"740148/3    ",2007-08-27,"05",457.00,"03",457.00,2007-10-01,S,2007-10-01,457.00,2007-09-03,
29,8,2007-09-03,"740148/4    ",2007-08-27,"05",457.00,"04",457.00,2007-10-08,S,2007-10-09,457.00,2007-09-03,
30,8,2007-09-03,"740148/5    ",2007-08-27,"5 ",457.00,"05",457.00,2007-10-15,S,2007-10-16,457.00,2007-09-03,
31,1,2007-09-03,"1795/1vo    ",2007-08-31,"01",1309.00,"01",1309.00,2007-09-28,S,2007-09-24,1309.00,2007-09-03,
32,8,2007-09-03,"740743/1    ",2007-08-29,"03",1671.30,"01",580.98,2007-09-19,S,2007-09-17,580.98,2007-09-03,
33,8,2007-09-03,"740743/2    ",2007-08-29,"03",1671.30,"02",558.00,2007-09-26,S,2007-09-24,558.00,2007-09-03,
34,8,2007-09-03,"740743/3    ",2007-08-29,"03",1671.30,"03",558.00,2007-10-03,S,2007-10-01,558.00,2007-09-03,
35,8,2007-09-03,"741145/1    ",2007-08-30,"03",1502.30,"01",527.33,2007-09-20,S,2007-09-17,527.33,2007-09-03,
36,8,2007-09-03,"741145/2    ",2007-08-30,"03",1502.30,"02",504.00,2007-09-27,S,2007-09-24,504.00,2007-09-03,
37,8,2007-09-03,"741145/3    ",2007-08-30,"03",1502.30,"03",504.00,2007-10-04,S,2007-10-01,504.00,2007-09-03,
38,8,2007-09-04,"741466/1    ",2007-08-31,"01",532.68,"01",532.68,2007-09-28,S,2007-09-24,532.68,2007-09-04,
39,11,2007-09-04,"29644450459 ",2007-08-27,"01",290.98,"01",290.98,2007-09-21,S,2007-09-17,290.98,2007-09-04,
40,2,2007-09-06,"430400A     ",2007-09-05,"01",1058.01,"01",1058.01,2007-09-19,S,2007-09-17,1058.01,2007-09-06,
41,14,2007-09-11,"005162      ",2007-09-10,"01",373.00,"01",373.00,2007-10-10,S,2007-10-09,373.00,2007-09-11,2007-09-11
42,1,2007-09-15,"14436/1     ",2007-09-14,"01",218.32,"01",218.32,2007-09-24,S,2007-09-24,218.32,2007-09-15,
43,1,2007-09-15,"1929/1      ",2007-09-14,"01",919.83,"01",919.83,2007-10-12,S,2007-10-09,919.83,2007-09-15,
44,8,2007-09-15,"743237/1    ",2007-09-06,"01",747.66,"01",747.66,2007-10-04,S,2007-10-01,747.66,2007-09-15,
45,15,2007-09-19,"0           ",2007-09-13,"02",1227.41,"01",628.77,2007-09-23,S,2007-09-24,628.77,2007-09-19,
46,15,2007-09-19,"0           ",2007-09-13,"02",1227.41,"02",598.82,2007-09-23,S,2007-09-24,598.82,2007-09-19,
47,16,2007-09-19,"05972/01    ",2007-09-11,"02",295.00,"01",147.50,2007-10-11,S,2007-10-09,147.50,2007-09-19,
48,16,2007-09-19,"05972/02    ",2007-09-11,"02",295.00,"02",147.50,2007-11-10,S,2007-11-12,147.50,2007-09-19,
49,12,2007-09-24,"12530       ",2007-09-19,"01",429.04,"01",429.04,2007-10-19,S,2007-10-16,429.04,2007-09-24,
50,2,2007-09-24,"432951A     ",2007-09-17,"05",2.00,"01",773.65,2007-10-08,S,2007-10-09,773.65,2007-09-24,2007-09-24
51,2,2007-09-24,"432951B     ",2007-09-17,"02",1522.29,"02",748.64,2007-10-15,S,2007-10-16,748.64,2007-09-24,2007-09-24
52,1,2007-09-25,"14692/1     ",2007-09-21,"01",225.27,"01",225.27,2007-09-28,S,2007-09-28,225.27,2007-09-25,
53,11,2007-10-01,"2010276957  ",2007-09-20,"01",298.52,"01",298.52,2007-10-16,S,2007-10-16,298.52,2007-10-01,
54,11,2007-10-08,SEDEX3554   ,2007-09-27,"01",41.10,"01",41.10,2007-10-15,S,2007-10-16,41.10,2007-10-08,
55,17,2007-10-08,"2020230564  ",2007-09-26,"01",5.40,"01",5.40,2007-10-15,S,2007-10-16,5.40,2007-10-08,
56,8,2007-10-08,"748872/1    ",2007-10-01,"05",2592.47,"01",536.47,2007-10-22,S,2007-10-22,536.47,2007-10-08,
57,8,2007-10-08,"748872/2    ",2007-10-01,"05",2592.47,"02",514.00,2007-10-29,S,2007-10-30,514.00,2007-10-08,
58,8,2007-10-08,"748872/3    ",2007-10-01,"05",2592.47,"03",514.00,2007-11-05,S,2007-11-05,514.00,2007-10-08,
59,8,2007-10-08,"748872/4    ",2007-10-01,"05",2592.47,"04",514.00,2007-11-12,S,2007-11-12,514.00,2007-10-08,
60,8,2007-10-08,"748872/5    ",2007-10-01,"05",2592.47,"05",514.00,2007-11-19,S,2007-11-19,514.00,2007-10-08,
63,18,2007-10-14,"3183        ",2007-09-28,"01",300.00,"01",300.00,2007-10-25,S,2007-10-26,300.00,2007-10-14,
61,2,2007-10-09,"438322A     ",2007-10-05,"01",1036.80,"01",1036.80,2007-10-19,S,2007-10-16,1036.80,2007-10-09,
62,2,2007-10-09,"53767A      ",2007-10-08,"01",957.78,"01",957.78,2007-10-22,S,2007-10-22,957.78,2007-10-09,
67,14,2007-10-18,nf5335      ,2007-11-16,"01",304.00,"01",304.00,2007-11-16,S,2007-11-16,304.00,2007-10-18,
68,2,2007-10-19,"441027A     ",2007-10-17,"01",660.12,"01",660.12,2007-11-14,S,2007-11-14,660.12,2007-10-19,
69,2,2007-10-24,"54265A      ",2007-10-16,"01",661.05,"01",661.05,2007-11-13,S,2007-11-14,661.05,2007-10-24,
70,2,2007-11-06,"55469A      ",2007-11-05,"01",679.24,"01",679.24,2007-12-03,S,2007-11-26,679.24,2007-11-06,
64,2,2007-10-16,"440032      ",2007-10-11,"03",255161.00,"01",850.54,2007-11-01,S,2007-10-30,850.54,2007-10-16,
65,2,2007-10-16,"440032      ",2007-10-11,"03",2551.61,"02",850.54,2007-11-08,S,2007-11-05,850.54,2007-10-16,
66,2,2007-10-16,"440032      ",2007-10-11,"03",2551.61,"03",850.53,2007-11-15,S,2007-11-16,850.53,2007-10-16,
71,18,2007-11-08,"3914        ",2007-10-31,"01",300.00,"01",300.00,2007-11-25,S,2007-11-26,300.00,2007-11-08,
72,2,2007-11-09,"444937      ",2007-10-31,"01",980.56,"01",980.56,2007-11-14,S,2007-11-14,980.56,2007-11-09,
73,11,2007-11-13,"2085510165  ",2007-10-31,"01",326.94,"01",326.94,2007-11-27,S,2007-11-26,326.94,2007-11-13,
74,2,2007-11-14,"447355a     ",2007-11-12,"02",1158.68,"01",592.59,2007-12-03,S,2007-12-03,592.59,2007-11-14,
75,2,2007-11-14,"447355b     ",2007-11-12,"02",1158.68,"01",566.09,2007-12-10,S,2007-12-10,566.09,2007-11-14,
76,8,2007-11-22,"760916/1    ",2007-11-19,"05",2877.39,"01",593.39,2007-12-10,S,2007-12-10,593.39,2007-11-22,2007-11-22
77,8,2007-11-22,"760916/2    ",2007-11-19,"05",2877.39,"02",571.00,2007-12-17,S,2007-12-17,571.00,2007-11-22,
